"openai/baselines' PPO2 (average by the episodic returns of the last 100 training episodes, then average by 3 random seeds)","CleanRL's ppo_atari_envpool_xla_jax_truncation.py (average by the last 100 ""data points"" (see `README.md`), then average by 3 random seeds)",CleanRL's ppo_atari_envpool_xla_jax.py,CleanRL's ppo_atari_envpool_xla_vclip_jax.py
Alien-v5,1705.80 ± 439.74,1755.00 ± 342.54,1736.39 ± 68.65,1849.70 ± 212.53
Amidar-v5,585.99 ± 52.92,843.47 ± 31.70,653.53 ± 44.06,629.55 ± 28.58
Assault-v5,4878.67 ± 815.64,6248.95 ± 261.93,6791.74 ± 420.03,4686.32 ± 165.95
Asterix-v5,3738.50 ± 745.13,4903.44 ± 479.45,4820.33 ± 1091.83,3211.71 ± 491.48
Asteroids-v5,1556.90 ± 151.20,1769.68 ± 200.53,1633.67 ± 247.21,1482.78 ± 92.81
Atlantis-v5,2036749.00 ± 95929.75,3258958.33 ± 553392.40,3778458.33 ± 117680.68,3106283.33 ± 847401.71
BankHeist-v5,1213.47 ± 14.46,1167.31 ± 37.27,1195.44 ± 18.54,1180.35 ± 9.64
BattleZone-v5,19980.00 ± 1355.21,20424.17 ± 1986.70,24283.75 ± 1841.94,24843.33 ± 3396.30
BeamRider-v5,2835.71 ± 387.92,3133.78 ± 293.02,2478.44 ± 336.55,2290.58 ± 169.61
Berzerk-v5,1049.77 ± 144.58,991.35 ± 215.61,992.88 ± 196.90,1120.79 ± 208.29
Bowling-v5,59.66 ± 0.62,44.76 ± 7.63,51.62 ± 13.53,46.05 ± 2.22
Boxing-v5,93.32 ± 0.36,93.64 ± 0.17,92.68 ± 1.41,93.98 ± 0.41
Breakout-v5,405.73 ± 11.47,465.90 ± 14.30,430.09 ± 8.12,402.39 ± 20.21
Centipede-v5,3688.54 ± 412.24,3494.08 ± 58.71,3309.34 ± 325.05,3778.47 ± 304.73
ChopperCommand-v5,816.33 ± 114.14,4422.79 ± 833.81,5642.83 ± 802.34,5189.46 ± 842.38
CrazyClimber-v5,119344.67 ± 4902.83,118370.17 ± 4364.35,118763.04 ± 4915.34,119406.25 ± 1637.43
Defender-v5,50161.67 ± 4477.49,49146.98 ± 4077.41,48558.98 ± 4466.76,44466.88 ± 1972.85
DemonAttack-v5,13788.43 ± 1313.44,23497.63 ± 4008.79,29283.83 ± 7007.31,15175.72 ± 3649.67
DoubleDunk-v5,-12.96 ± 0.31,-6.72 ± 1.02,-6.81 ± 0.24,-5.58 ± 1.85
Enduro-v5,986.69 ± 25.28,1178.37 ± 90.34,1297.23 ± 143.71,1082.41 ± 150.29
FishingDerby-v5,26.23 ± 2.76,26.20 ± 0.49,21.21 ± 6.73,27.16 ± 1.53
Freeway-v5,32.97 ± 0.37,32.77 ± 0.22,33.10 ± 0.31,32.67 ± 0.41
Frostbite-v5,933.60 ± 885.92,296.23 ± 16.84,1137.34 ± 1192.05,287.50 ± 12.68
